ID,description,subject,title,runtime
ygwm0256,"<span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:12.1884px;background-color:rgb(255,255,255);"">Clip of interview with physician noting the order in which they would mention specific conditions for marketing opioids - would start with osteoarthritis, then move on to low back pain and then diabetic neuropathy.   </span><div><span style=""background-color:rgb(255,255,255);""></span><div><font color=""#333333"" face=""Helvetica Neue, Helvetica, Arial, sans-serif""><span style=""font-size:12.1884px;"">Part of the UCSF-JHU Opioid Industry Documents Archive; McKinsey Documents Collection</span></font></div><div><font color=""#333333"" face=""Helvetica Neue, Helvetica, Arial, sans-serif""><span style=""font-size:12.1884px;"">Bates#: </span></font><span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:12.1884px;"">MCK-MAAG-0159855</span></div></div>",opioids; sales and marketing; osteoarthritis; back pain; neuropathy; physician interview,Chapter Order OA LBP DPN [PCP Interview],
ygwv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"MARLBORO STORY VIDEO ""COMMITMENT TO EXCELLENCE"" REV.",
ygxb0079,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"SUPPORT THE LAW"" DANNY GLOVER SATELLITE FEED  WINSTON-SALEM, NC.",
yhfk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"CBS INTERVIEW [UNCUT, NON-BROADCAST] TOBACCO INSTITUTE/ #3",
yhgb0191,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"MARLBORO 620000, 630000, 640000 REEL NUMBER 8",
yhhh0100,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE 16MM COMMERCIAL TRANSFERS SELECTIONS FROM REEL #13,
yhhw0178,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,DAY 1 TAPE 4 DR. EDELMAN 910925 HYATT RICH,
yjdv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,F.A.C.T. (FILTERED AIR CONTROL TOBACCO),
yjnj0229,,tobacco; cigarette;<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ANNIMATION 3BLOCK E 60.MPG.,
yjxb0079,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PR 153 TOBACCO HEARINGS LOCAL/NATIONAL NEWS COVERAGE 4/14/94 (940414).,
