ID,description,subject,title,runtime
tgkv0183,(error code: 224003),tobacco; cigarette,"Y&R / PHILIP MORRIS USA PHILIP MORRIS / YOUTH SMOKING ""MY REASONS"" ZYRA 9364 :30 20000119",0:03:52
tgwb0039,This is an advertisement about tobacco that makes you want to get tobaco.,tobacco; cigarette; advertisement; marketing; promotion,tobacco_mvi52b00,0:00:36
tgwm0256,Clip of interview with physician after Nucynta ER presentation - discussion of chronic pain and prescribing goal</div><div>Part of the UCSF-JHU Opioid Industry Documents Archive; McKinsey Documents Collection,opioids; physician interview; chronic pain; Nucynta; sales and marketing,Dr David - meeting goals,0:01:08
tgwv0183,(error code: 224003),tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PHILIP MORRIS CAMBRIDGE VIDEO 1 ""DISCOUNT MINDSET""",0:05:05
tgxb0079,A cigarette company official explains why they are discouraging smoking.,tobacco; cigarette; interview; strategy; youth prevention,"RIGHT DECISIONS, RIGHT NOW. WKYC-TV, HERBERT OSMON",0:05:46
thdh0182,(error code: 224003),tobacco; cigarette,YOUNG AND RUBICAM PHILIP MORRIS 1. '10 O'CLOCK HEAD TOUSLE.' :30.990517.,0:03:47
thgb0191,This is an advertisement for Marlboro.,tobacco; cigarette; advertisement; marketing; promotion,MARLBORO NUMBER 7,0:01:00
thhb0039,This is a video of a focus group trying a new cigarette product.,tobacco; cigarette; focus group; marketing; product,FOCUS GROUP REVISED 46.00 RUNNING TIME 0:46:07.,0:23:22
thxb0079,The purpose is to update the NYC schools about the release of a new RJR product.,tobacco; cigarette,NYC ANNOUNCEMENT SCHOOLS COPY,0:31:49
tjdv0183,(error code: 224003),tobacco; cigarette,SMOKING LOUNGES CNN MORNING NEWS @ 9:15 AM 970903,0:04:35
tjnj0229,This is a video of puffing smoke,tobacco; cigarette,INSERTED2NDPUFF,0:00:06
tjnv0001,This is a video talking about the strategy of advertising RJR cigarettes.,tobacco; cigarette; promotion; strategy,"DRAFT/ RJR, THE CIGARETTE ADVERTISING & PROMOTION. AV CODE.",0:13:26
tjxb0079,"This is a commercial telling adolescents to make the right decisions, possibly regarding smoking.",tobacco; cigarette; prevention, WILL SMITH-RIGHT DECISIONS PSA,0:03:35
tkhb0039,"This is an advertisement/commercial by the cigarette company Eclipse promoting their new low tar, low nicotine, non-smoke cigarettes.",tobacco; cigarette; advertising; new product,ECLIPSE COMMERCIAL PROJECT KITCHEN SHOW 2,0:10:42
tknh0063,This is a marketing presentation at the Lorillard Managment Conference.,tobacco; cigarette; sales; marketing; ,"LORILLARD MANAGEMENT CONFERENCE: BAROODY, G, MARKETING SERVICES",0:27:11
tlgy0021,This is a scientific presentation about research on lung cancer.,tobacco; cigarette; research; study; cancer,ARCHIVE LOCATION VARIANCE SHEET,0:24:59
tlhb0039,This is a Nightline segment regarding the continued attacks against the tobacco industry.,tobacco; cigarette; news; reporting,CREATIVE SERVICES R.J. REYNOLDS TOBACCO CIE NIGHTLINE NEWS,0;22:28
tmgp0190,This is a Marlboro commercial in the middle of a Jim Nabors Hour TV segment.,tobacco; cigarette; promotion; advertising,Marlboro Commercial During the Jim Nabors Hour,0:01:38
tmhb0039,This is a Winston cigarette commercial.,tobacco; cigarette; promotion; advertising,WINSTON BOAT VERSION,00:01:20
tmpj0015,Linda Hazemy talks about her switch to Eclipse cigarettes and how they are superior to any other cigarettes she's had.,tobacco; cigarette; interview; testimonials; new product,LINDA HAZEMY CIT 4.,0:30:04
tngp0190,A radio talk shows host or guest talks about how he notices people are choosing Philip Morris cigarettes over other brands.,tobacco; cigarette; promotion; radio; advertising,Mike Wallace Interview video,00:01:08
tnhb0039,This is behind the scenes/first edit of an RJR official promoting Eclipse cigarettes as the new thing.,tobacco; cigarette; marketing; promotion; new product,ECLIPSE FIRST EDIT --LINCOLN VERSION FOR APPROVAL ONLY ,00:05:55
tnwv0183,(error code: 224003),tobacco; cigarette,"""G.I. JOE'S 200 - MARLBORO TEAM PENSKE CHANNEL 2 NEWS KATU-TB (ABC) PORTLAND",00:05:33
tpcw0111,Philip Morris promotes its products and its affliated organizations.,tobacco; cigarette; promotion; advertising,Philip Morris Promotion,00:10:59
tpgl0191,"A news report says despite low-tar cigarettes being healthier, there is no evidence that they aren't harmful.",tobacco; cigarette; news report,NEWS REPORT,0:00:23
tpgp0190,(audio hard to hear),tobacco; cigarette,Video excerpt from Gilligan's Island (Opening),
tqgp0190,(audio hard to hear),tobacco; cigarette,"Video Tobacco Institute Ad, Statue",
tqhb0039,This is a promotion video for a racing car sponsored by Camel cigarettes.,tobacco; cigarette; sponsor; racing; sport,LONG HAYMES CARR LINTAS SMOKIN' JOE'S RACING SALES VIDEO 1994,0:06:48
tqph0257,"Consists of a Fentora timeline, media coverage, statistics, etc.; Created in anticipation of full approval of Fentora, and/or Phase IV trials of Fentora; Contains the entirety of the song “Speed of Sound” [Radio Edit] by Coldplay, divided into 4 segments (0:10 to 2:14, 2:47 to 3:18, 3:42 to 3:59, and 4:41 to 6:10)",opioids; sales and marketing; fentora; pharmaceutical industry,"A change is coming, at effervescent speed : Fentora (fentanyl buccal tablet)",0:06:19
trfp0190,This is a vdieo about the presige and currently financial troubles of Vanderbilt University's television news.,news; fundraising,Television News Archive - Vanderbilt University,0:01:28
tsdv0183,(error code: 224003),tobacco; cigarette,RUSTLE UP SOME SMOKERS,0:03:46
tsfb0183,(error code: 224003),tobacco; cigarette,EGRI DOHANYGYAR 16 NTSC,0:23:00
tsgb0039,This is a compliation of Camel cigarette company commericals.,tobacco; cigarette; advertisement; marketing; promotion,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE 16MM COMMERCIAL TRANSFERS REEL,0:25:01
tsgp0190,"This is an informative video regarding national research into cigarettes and lung cancer at a labratory in Bar Harbor, Maine.",tobacco; cigarette,Video See it Now - Cigarettes and Lung Cancer - TI Research Committee,0:04:10
tswh0064,This is a compliation of youth smoking prevention ads.by the Surgeon General.,tobacco; cigarette; prevention; advertising; PSA,YOUTH SMOKING PREVENTION,0:15:40
ttgb0039,This is a guide for those hosting previews for the new Eclipse cigarettes.,tobacco; cigarette; guide; new product,RJ REYNOLDS TOBACCO COMPANY DISCOVERY RALEIGH FOCUS GROUP GUIDE,0:22:38
tthh0257,Deposition of Victor Borelli in RE: National Prescription Opiate Litigation; in 11 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Victor Borelli, National Sales Manager",01:00:36
txhb0039,Yancy Ford lists out the three main priorities for R.J. Reynolds. ,tobacco; cigarette; company goals; sales,YANCY FORD: OUR PRIORITIES,0:07:00
txnj0229,A scientist is arranging samples in a lab using a syringe as a holder for a cigarette and a lighter to light the cigarette. ,tobacco; cigarette; research; laboratory; process,Lab Samples for Cigarette Research,0:01:10
txvv0231,This is a presentation about e-cigarettes and how they will be different compared to a regular cigarette.,tobacco; cigarette; vaping; innovation; vaporizer; design; e-cigarette; nicotine; marketing,"""Adam and James' Thesis Presentation""",0:17:46
tygl0191,This is a compliation of clips demonstraing the uncertainly whether cigarettes are harmful.,tobacco; cigarette; debate; health,ARE THEY SAFE?,0:01:00
tygp0190,This is an audio of a Marlboro commerical on the Jackie Gleason Show.,tobacco; cigarette; commerical; advertisement; promotion,Marlboro Commercial on the Jackie Gleason Show,0:01:00
tywh0182,(error code: 224003),tobacco; cigarette,ARCHIVE LOCATION VARIANCE SHEET,0:26:30
tywv0183,(error code: 224003),tobacco; cigarette,BATWIN & ROBIN MAT III MARLBORO ADVENTURE TEAM 35 MM TEAM,0:04:53
tzgb0039,"This is a compliation of interviews of real-life smokers, praising Eclipse cigarettes by R.J. Reynolds for its less smoke product.",tobacco; cigarette; interview; testimonials,ECLIPSE INTERVIEWS BY REAL-LIFE SMOKERS 2,0:30:00
tzhh0257,Deposition of Catherine Jackson in RE: National Prescription Opiate Litigation; in 4 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of Catherine Jackson, Manager of Medical Advocacy",01:17:46
xfcg0182,(error code: 224003),tobacco; cigarette,VIRGINIA SLIMS LEGENDS PROGRAM,0:06:09
xfhb0039,"This is a compliation of interviews of real-life smokers, praising Eclipse cigarettes by R.J. Reynolds for its less smoke product.",tobacco; cigarette; interview; testimonials,ECLIPSE INTERVIEWS BY REAL-LIFE SMOKERS 1,0:29:25
xfjw0178,"This is a news report regarding the morals of selling tobacco overseas, debated through the United States Trade Representative.",tobacco; cigarette; politics; public policy; debate,CIGARETTE EXPORTS THE NEW ANTI-SMOKING TARGET,0:16:26
xfxh0257,Deposition of Bonnie New in RE: National Prescription Opiate Litigation; in 6 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Bonnie New, Regional Account Manager",0:58:35
xghb0039,This is a news report regarding R.J. Reynolds new Winston cigarettes to be 100% tobacco with no flavorings.,tobacco; cigarette,PR 255 WINSTON NEWS STORY ,0:04:27
xghj0223,This video is for Philip Morris employees around the world to get an update regarding litigation against the company.,tobacco; cigarette; litigation; employee; targeted audience,"PHILIP MORRIS COMPANIES, INC. LITIGATION VIDEO 950500",01:00:33
xgwv0183,(error code: 224003),tobacco; cigarette,P.E.B SIGNAGE 931204,01:08:40
xgxh0257,Deposition of Kevin Webb in RE: National Prescription Opiate Litigation; in 3 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Kevin Webb, Senior Product Manager and Director of Advocacy",0:53:46
xhgb0191,This is a black-and-white commercial by Marlboro.,tobacco; cigarette; advertisement; marketing; promotion,MARLBORO REEL NUMBER 6,0:01:00
xhhb0039,"This is a compliation of commericals, including from tobacco companies.",tobacco; cigarette; advertisement; marketing; promotion,COMMERCIAL COMPLIATION,0:06:16
xhhh0100,This is a compliation of Camel cigarette company commericals.,tobacco; cigarette; advertisement; marketing; promotion,CAMEL TELEVISION COMMERCIALS ON VIDEOTAPE,0:27:16
xhhj0223,(error code - There Is No Preview Available For This Item),tobacco; cigarette,WE CARD' :30 RADIO PSA'S (1)NEW HAMPSHIRE (2)OHIO (W/TRAINING) (3)OHIO (W/O TRAINING) (4)CALIFORNIA (5)NEW YORK,
xhkv0183,(error code: 224003),tobacco; cigarette,"PHILIP MORRIS / YOUNG & RUBICAM YOUTH SMOKING PREVENTION ( PARENT TV) 990602 1. ""TEN O'CLOCK"" 2. ""LISTENING"" 3. ""ADVICE"" 4. ""BEING THERE""",0:05:45
xhwm0256,Clip of interview with physician after drug company presentation discussing whether it is preferable to address copay card and cost issues upfront,opioids; sales and marketing; physician interview; costs,Cost Up Front,0:00:42
xjhv0183,(error code: 224003),tobacco; cigarette,No Title,0:04:21
