id,identifier,file_name,file_size,download_url
smcn0006,tobacco_tgy27a00,tobacco_tgy27a00.mp4,34707728.0,https://archive.org/download/tobacco_tgy27a00_files.xml/tobacco_tgy27a00.mp4
smcx0057,tobacco_lzj21c00,170600414_512kb.mp4,77234723.0,https://archive.org/download/tobacco_lzj21c00_files.xml/170600414_512kb.mp4
smdk0146,tobacco_rnp91f00,tobacco_rnp91f00.mp4,41151431.0,https://archive.org/download/tobacco_rnp91f00_files.xml/tobacco_rnp91f00.mp4
smdn0006,tobacco_pqy27a00,tobacco_pqy27a00.mp4,21820287.0,https://archive.org/download/tobacco_pqy27a00_files.xml/tobacco_pqy27a00.mp4
smfp0025,tobacco_han02b00,tobacco_han02b00.mp4,16854367.0,https://archive.org/download/tobacco_han02b00_files.xml/tobacco_han02b00.mp4
smfv0125,tobacco_czx74e00,tobacco_czx74e00.mp4,499987924.0,https://archive.org/download/tobacco_czx74e00_files.xml/tobacco_czx74e00.mp4
smgp0025,tobacco_dkn02b00,VTS_01_3_512kb.mp4,1239502204.0,https://archive.org/download/tobacco_dkn02b00_files.xml/VTS_01_3_512kb.mp4
smgp0190,tobacco_ewu17j00,tobacco_ewu17j00.mp4,20013957.0,https://archive.org/download/tobacco_ewu17j00_files.xml/tobacco_ewu17j00.mp4
smhb0039,tobacco_yck52b00,tobacco_yck52b00.mp4,56399060.0,https://archive.org/download/tobacco_yck52b00_files.xml/tobacco_yck52b00.mp4
smhx0055,tobacco_izz13c00,VTS_01_1_512kb.mp4,250915121.0,https://archive.org/download/tobacco_izz13c00_files.xml/VTS_01_1_512kb.mp4
smky0104,tobacco_gty99d00,Bates_807166346636_512kb.mp4,28844237.0,https://archive.org/download/tobacco_gty99d00_files.xml/Bates_807166346636_512kb.mp4
smmm0006,tobacco_rzv27a00,tobacco_rzv27a00.mp4,708183449.0,https://archive.org/download/tobacco_rzv27a00_files.xml/tobacco_rzv27a00.mp4
